neighbor,interventions,total_abs_effect,mean_abs_effect,mean_delta
12cgpFdJViXbwHbhrA3TuW1EGnL25Zqc3P,18,7.133574812207371,0.3963097117892984,-0.3963097117892984
1GX28yLjVWux7ws4UQ9FB4MnLH4UKTPK2z,24,2.8178863055072725,0.11741192939613636,-0.11741192939613636
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,36,1.5103764890227467,0.04195490247285408,-0.03996028295174862
1N52wHoVR79PMDishab2XmRHsbekCdGquK,55,1.2770686235744506,0.023219429519535466,-0.02277332154441286
3BgGDrAfviBztVooGNqW5Eqjj8hmkEwfYc,5,0.9706432223320007,0.19412864446640016,0.19412864446640016
1BrT827NCgxjctnEBdLiuDzukupwWHP1i2,8,0.6913786232471466,0.08642232790589333,0.07674490287899971
38BoHtepsEZyWoCRKKyAe9gKW8wp3aPouM,6,0.6854105889797211,0.11423509816328685,0.11423509816328685
1ETa4q9o8sCpxsHJCUmupaq9iDCvC7adQf,2,0.6433386206626892,0.3216693103313446,-0.3216693103313446
1Dym1yThrVo5T1Q7bzgu8ekQBYEma2ftge,2,0.6381186544895172,0.3190593272447586,-0.3190593272447586
1FAv42GaDuQixSzEzSbx6aP1Kf4WVWpQUY,1,0.6253400444984436,0.6253400444984436,-0.6253400444984436
1GZbccX3cJJbfRC8WuKW1sFiTQXj8MPYpQ,2,0.5625574607402086,0.2812787303701043,0.2303024223074317
187d6gWrsbnbigNN7KJVt5myqjtFjnF9hv,2,0.5623826682567596,0.2811913341283798,-0.11465625464916229
31kuXQYcrAeZcgH75suHnGeRKrBJ3wk5xC,1,0.4882533401250839,0.4882533401250839,-0.4882533401250839
15ymZ1HC2WuUc2T9rXjjjbFUrpWf213fkR,2,0.4859556555747986,0.2429778277873993,0.2429778277873993
39sfuA8pY4UfybgEZi7uvA13jkGzZpsg5K,3,0.441226601600647,0.14707553386688232,0.14707553386688232
394H6wHnsdBxQqFSLLPzeTJ7kmLeKTvcRY,1,0.4009872227907181,0.4009872227907181,0.4009872227907181
3CD1QW6fjgTwKq3Pj97nty28WZAVkziNom,2,0.366286039352417,0.1831430196762085,-0.1831430196762085
1C8hkWXwqfzQAcfRW7yR7z8wjyTg4P9hfA,4,0.3616526871919632,0.0904131717979908,0.04317687079310417
16qCPeR7GCXntamDPap76vjhMNm8rjBFB8,1,0.3512928131967783,0.3512928131967783,-0.3512928131967783
1D7RLdKN1npShamM2DVcYPjTG9qbBs8xba,1,0.32134346663951874,0.32134346663951874,-0.32134346663951874
