neighbor,interventions,total_abs_effect,mean_abs_effect,mean_delta
12cgpFdJViXbwHbhrA3TuW1EGnL25Zqc3P,18,4.2960959484335035,0.23867199713519463,-0.23520041685292703
3BgGDrAfviBztVooGNqW5Eqjj8hmkEwfYc,5,3.5170539021492004,0.7034107804298401,0.7034107804298401
38BoHtepsEZyWoCRKKyAe9gKW8wp3aPouM,6,2.7086725011467934,0.4514454168577989,0.4514454168577989
1GX28yLjVWux7ws4UQ9FB4MnLH4UKTPK2z,24,2.6231936912517995,0.10929973713549164,-0.10929973713549164
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,36,1.4981164585333318,0.041614346070370324,-0.041614346070370324
1C8hkWXwqfzQAcfRW7yR7z8wjyTg4P9hfA,4,1.0436391681432724,0.2609097920358181,-0.2609097920358181
1GZbccX3cJJbfRC8WuKW1sFiTQXj8MPYpQ,2,0.9438470676541328,0.4719235338270664,0.4719235338270664
16FTZ3gTGqLZo5eV2zqkQwdn7oTsAnwTb4,8,0.8830511160194874,0.11038138950243592,0.10768685722723603
1JNchFeujbm786astAzpeRAVM1igPUMwYx,4,0.7242248579859734,0.18105621449649334,0.05313126556575298
1DDmgYSiSA5VckjXxDNMi1DxWZfuHt1gVg,1,0.7047336250543594,0.7047336250543594,0.7047336250543594
3CD1QW6fjgTwKq3Pj97nty28WZAVkziNom,2,0.6620231559500098,0.3310115779750049,-0.3310115779750049
39sfuA8pY4UfybgEZi7uvA13jkGzZpsg5K,3,0.6256516426801682,0.20855054756005606,0.20855054756005606
1Dym1yThrVo5T1Q7bzgu8ekQBYEma2ftge,2,0.6174526363611221,0.30872631818056107,-0.30872631818056107
125NYpUEF377vRqZ6Wp7p1uvrnecWS6C7D,1,0.6135707944631577,0.6135707944631577,0.6135707944631577
15ymZ1HC2WuUc2T9rXjjjbFUrpWf213fkR,2,0.58296699821949,0.291483499109745,-0.291483499109745
1ETa4q9o8sCpxsHJCUmupaq9iDCvC7adQf,2,0.5138546228408813,0.2569273114204407,-0.2569273114204407
326DgM2u3F34ZLcUUFes4TeXdiaVCNus5h,3,0.5092552043497562,0.1697517347832521,-0.1697517347832521
1Hi4VN32bzYhJAVm17tByeBGJjoC5Sd5fj,1,0.45595943089574575,0.45595943089574575,0.45595943089574575
1H7iXk3DJBgqShM3ADiKGggQmqMNUMhogm,2,0.43759752810001373,0.21879876405000687,-0.07162445038557053
1CCn9buMG1LhDNiHVCfnb6biiYhdcYSfyr,1,0.42692264914512634,0.42692264914512634,-0.42692264914512634
1DnigX5TYZ1z92hatgPUTfPKm6d21XDVyo,1,0.41631802916526794,0.41631802916526794,0.41631802916526794
1N52wHoVR79PMDishab2XmRHsbekCdGquK,55,0.4073375528678298,0.007406137324869633,-0.007378363092853265
178FWZR2yXxSCL2V2coJZXF2zVVvh13fdQ,2,0.3948236405849457,0.19741182029247284,-0.19741182029247284
394H6wHnsdBxQqFSLLPzeTJ7kmLeKTvcRY,1,0.39283350110054016,0.39283350110054016,0.39283350110054016
1KD6iM6HxWc2UvY9ZK1vZEcQUidmoDxHFB,2,0.37244030833244324,0.18622015416622162,-0.09450043737888336
1347PE3ZDokSsE2Ws1ZvtftPXCuR4NjJsQ,2,0.3687376081943512,0.1843688040971756,-0.1843688040971756
1GmyXoUKLG2VYabNayKscVbCPwbjswaKMC,1,0.3687049299478531,0.3687049299478531,0.3687049299478531
1BVXAddKjbphVK5xXKeYcyorTPDgDBQHTu,1,0.3677619993686676,0.3677619993686676,-0.3677619993686676
17tuUbfeLanNs3CiugCFgtGnBT7Q8Pn4qa,1,0.3638737052679062,0.3638737052679062,-0.3638737052679062
141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,1,0.35603636503219604,0.35603636503219604,-0.35603636503219604
16qCPeR7GCXntamDPap76vjhMNm8rjBFB8,1,0.3533757096156478,0.3533757096156478,-0.3533757096156478
15uepg7WpadtMYxc8Lzd1cyKKjLsZ4qhco,2,0.34643667936325073,0.17321833968162537,-0.17321833968162537
1CjStQKYUZ8cSMk3iJf1eWWe6vLJRgj2TY,2,0.3427234501577914,0.1713617250788957,0.1713617250788957
1HfEepHZagyXjPEg71A7VTA8QHX28fJHD7,1,0.3280685544013977,0.3280685544013977,-0.3280685544013977
1BxjUjgLy1y9APYWsiDRuZLBjrENJoovxG,1,0.3177899569272995,0.3177899569272995,0.3177899569272995
3BuQmbmdce3e31GEovq5SgowLdfMgJzLDE,1,0.31027752161026,0.31027752161026,-0.31027752161026
1JNePVExrvnWcJnouKMoV6zC9KPr6tcjjP,2,0.2943253517150879,0.14716267585754395,0.06235241889953613
1LPkxJBrtvZvSRwaUkmXQrJtLwxUNkSRsd,2,0.29219266027212143,0.14609633013606071,-0.14609633013606071
1ASCBAxmagSnPiTNJCznnpysoeyS6nFBi9,2,0.28538454324007034,0.14269227162003517,-0.14269227162003517
18oMcnDMbP7XmhAdYxjoidju3ZCeLPxuLn,1,0.27421945333480835,0.27421945333480835,0.27421945333480835
1BrT827NCgxjctnEBdLiuDzukupwWHP1i2,8,0.26540119759738445,0.03317514969967306,0.005356198875233531
12pkJ4BgY4ZxMDvYPP7VXSHajzwUjtaZY4,2,0.2631265555974096,0.1315632777987048,-0.11343940917868167
1DwX1NA2r5hsPnNm72B3W5pTLBczvHKDoh,2,0.25526852905750275,0.12763426452875137,-0.12763426452875137
122cArGCaKzoAj7dsf7KH2tdhhejy23n7r,2,0.24621610343456268,0.12310805171728134,-0.12310805171728134
1AxcwffUwfdsbj5J3yHDYZr6rRLXw9Tb75,4,0.24339225888252258,0.060848064720630646,-0.060848064720630646
1959snj1ovEnJP6ce9Aav2RuxDhZQEoCyh,2,0.2405455643311143,0.12027278216555715,0.12027278216555715
1FAv42GaDuQixSzEzSbx6aP1Kf4WVWpQUY,1,0.23643237352371216,0.23643237352371216,-0.23643237352371216
187d6gWrsbnbigNN7KJVt5myqjtFjnF9hv,2,0.23340463638305664,0.11670231819152832,0.11670231819152832
1NtHN8Tx7MSGZ3XNx5iyNSRqsmQVnb3Ab6,1,0.22553836833685637,0.22553836833685637,-0.22553836833685637
17bggHMnBwxrULt778XA4U4X3ThaxvW4Rv,1,0.21993687748908997,0.21993687748908997,0.21993687748908997
36524udg8AAiKhXr8ukwFzyWoZ2PCBDq17,4,0.21102415025234222,0.052756037563085556,-0.011926207691431046
1JxfosgwwcUUkWKZLU2JvYjQqBwg3TKrea,2,0.2096751183271408,0.1048375591635704,0.1048375591635704
12ucu9bHLe2w2ahjibVtp3xmdcGkgUmX4A,2,0.2075182762928307,0.10375913814641535,-0.10375913814641535
18ZayqmKE8ThMMZzjwHH9pEC37oqfYDK16,1,0.2002255916595459,0.2002255916595459,0.2002255916595459
1K569MWDfdKuDb8iP8EPkFMCJ2FSf1kduk,5,0.18379012309014797,0.03675802461802959,-0.03675802461802959
1HL6tSg5mUrXik5kdFBni4UTrAuPRps3P6,2,0.18117810785770416,0.09058905392885208,0.09058905392885208
